Sku,ExternalKey,MPN,Gtin,Name,ProductTypeDescription,Price DO,Price DD,UpdateUTC
V5357,V5357,5357,5705020535758,Vikan Hygiene 5357-5 Sundae borstelset,SimpleProduct,Not Found,"€ 95,89","12/15/2025, 11:20 PM"
V70565,V70565,70565,5705020070563,"Vikan Hygiene 70563 waterborstel 4,5x35cm",SimpleProduct,Not Found,"€ 18,94","12/15/2025, 11:20 PM"
V617,V617,617,5705020006173,Vikan Hygiene 617 ophangrek RVS 32cm,SimpleProduct,Not Found,"€ 48,68","12/15/2025, 11:20 PM"
V297352C,V297352C,297352C,5705022973527,Vikan Transport telescoopsteel 163-275 cm waterdoorvoer Gardena koppeling,SimpleProduct,Not Found,"€ 82,35","12/15/2025, 11:20 PM"
V583011,V583011,583011,5705025830117,Vikan ErgoClean 583011 steelklem zijkant,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V581412,V581412,581412,5705025814124,Vikan ErgoClean 581412 MOPBOX 40 los,SimpleProduct,Not Found,"€ 36,86","12/15/2025, 11:20 PM"
V2994,V2994,2994,5705020029943,Vikan Classic 2994 adapter voor clickfit,SimpleProduct,Not Found,"€ 8,95","12/15/2025, 11:20 PM"
V10199,V10199,10199,5705020101991,Vikan Hygiene 1019-1 Aanvulset klemmen div. kleuren,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V707752,V707752,707752,5705027077527,Vikan Transport 707752 Wipe-n-Shine 25cm,SimpleProduct,Not Found,"€ 11,66","12/15/2025, 11:20 PM"
V299552Q,V299552Q,299552Q,5705022995529,Vikan Transport 299552-Q steel 150cm Nito waterdoorvoer,SimpleProduct,Not Found,"€ 62,85","12/15/2025, 11:20 PM"
V5581,V5581,5581,5705020055812,Vikan Classic 5581 stofblik,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V56613,V56613,56613,5705022015302,Vikan Hygiene 56613 afsluitbare stoffer en blik set,SimpleProduct,Not Found,"€ 51,99","12/15/2025, 11:20 PM"
V581110,V581110,581110,5705025811109,"Vikan ErgoClean 581110 maatbeker 1,5 ltr",SimpleProduct,Not Found,"€ 13,82","12/15/2025, 11:20 PM"
V370500,V370500,370500,5705023705004,Swish 370500 Superior mopframe 55cm click-fit,SimpleProduct,Not Found,"€ 31,52","12/15/2025, 11:20 PM"
V5229,V5229,5229,5705020052293,Vikan Classic 5229 handborstel zacht,SimpleProduct,Not Found,"€ 5,48","12/15/2025, 11:20 PM"
V10176,V10176,10176,5705020101762,Vikan Hygiene 10171 ophangrek 1-3,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V56933,V56933,56933,5705020569333,Vikan emmerdeksel 20 ltr,SimpleProduct,Not Found,"€ 21,39","12/15/2025, 11:20 PM"
V70563,V70563,70563,5705020705632,"Vikan Hygiene 70563 waterborstel 4,5x35cm",SimpleProduct,Not Found,"€ 18,94","12/15/2025, 11:20 PM"
V581819,V581819,581819,5705025818191,Vikan ErgoClean 581819 houder voor BOX 7,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V2945,V2945,2945,5705020029455,Vikan Classic 2945 steel 130cm,SimpleProduct,Not Found,"€ 7,61","12/15/2025, 11:20 PM"
V580918,V580918,580918,5705025809182,Vikan ErgoClean 580918 BOX 7 ltr compleet,SimpleProduct,Not Found,"€ 87,63","12/15/2025, 11:20 PM"
V580311,V580311,580311,5705025803111,Vikan 580311 COMPACT PLUS 40,SimpleProduct,Not Found,"€ 993,07","12/15/2025, 11:20 PM"
V29915,V29915,29915,5705020029912,Vikan Hygiene 29915 steel 150cm slangpilaar,SimpleProduct,Not Found,"€ 38,41","12/15/2025, 11:20 PM"
V525252,V525252,525252,5705025252520,Vikan Transport handborstel kort zacht 7cm breed,SimpleProduct,Not Found,"€ 12,00","12/15/2025, 11:20 PM"
V56683,V56683,56683,5705022032217,Handschpe Vikan 56683 metaaldetecteerbaar 1 liter,SimpleProduct,Not Found,"€ 13,41","12/15/2025, 11:20 PM"
V297552,V297552,297552,5705022975521,Vikan Transport telescoopsteel 163-275 cm,SimpleProduct,Not Found,"€ 66,39","12/15/2025, 11:20 PM"
V297052,V297052,297052,15705020010585,Vikan Transport 297052 steel 170cm,SimpleProduct,Not Found,"€ 133,96","12/15/2025, 11:20 PM"
V10178,V10178,10178,5705020101786,Vikan Hygiene 10171 ophangrek 1-3,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V10187,V10187,10187,5705020101878,Vikan Hygiene 1018-1 ophangrek 4-6,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
