Sku,ExternalKey,MPN,Gtin,Name,ProductTypeDescription,Price DO,Price DD,UpdateUTC
V77534,V77534,77534,5705020775345,Vikan 7753 klassieke vloertrekker 50cm vaste nek div.kleuren,ChildProduct,Not Found,"€ 29,91","8/22/2025, 12:16 PM"
V706077,V706077,706077,5705022014701,Vikan Hygiene 706077 vloerschrobber hard 30cm Limoen,ChildProduct,Not Found,"€ 35,32","8/22/2025, 12:16 PM"
V53755,V53755,53755,5705020053757,Vikan Hygiene pijpenborstel hard 10mm,ChildProduct,Not Found,"€ 6,88","8/22/2025, 12:16 PM"
V71702,V71702,71702,5705020717024,Vikan 7170 ultra hygiene vloertrekker 70cm vaste nek,ChildProduct,Not Found,"€ 38,09","8/22/2025, 12:16 PM"
V77246,V77246,77246,5705020772467,Vikan 7724 hygiene vloertrekker 60cm flexibele nek,ChildProduct,Not Found,"€ 38,33","8/22/2025, 12:16 PM"
V31992,V31992,31992,5705020319921,Vikan Hygiene 3199-2 zachte veger 60cm,ChildProduct,Not Found,"€ 43,21","8/22/2025, 12:16 PM"
V29834,V29834,29834,5705020298349,Vikan Hygiene 2983 RVS steel 100cm,ChildProduct,Not Found,"€ 65,52","8/22/2025, 12:16 PM"
V29627,V29627,29627,5705020296277,Vikan Ultra Hygiene 2962 kunststof steel 150cm,ChildProduct,Not Found,"€ 26,43","8/22/2025, 12:16 PM"
V31665,V31665,31665,5705020316654,Vikan Hygiene 3166 rechte nek medium veger 30cm wit,ChildProduct,Not Found,"€ 25,29","8/22/2025, 12:16 PM"
V77642,V77642,77642,5705020776427,Vikan 7764 klassieke vloertrekker 60cm flexibele nek,ChildProduct,Not Found,"€ 38,33","8/22/2025, 12:16 PM"
V40604,V40604,40604,5705020406041,"Vikan Hygiene 4060 handschraper 7,5 cm",ChildProduct,Not Found,"€ 2,96","8/22/2025, 12:16 PM"
V53782,V53782,53782,5705020537820,Vikan 5378 pijpenborstel 50cm hard diameter 40mm,ChildProduct,Not Found,"€ 8,18","8/22/2025, 12:16 PM"
V29642,V29642,29642,5705020296420,Vikan Ultra Hygiene 29642 kunststof steel 170cm groen,ChildProduct,Not Found,"€ 32,85","8/22/2025, 12:16 PM"
V70689,V70689,70689,5705020706899,Vikan Hygiene 70689 vloerveger medium 30cm zwart,ChildProduct,Not Found,"€ 31,29","8/22/2025, 12:16 PM"
V2973Q5,V29735-Q,2973Q5,5705020297304,Telescoopsteel met waterdoorvoer wit 160-278cm waterdoorvoer Nito Vikan Hygiene,ChildProduct,Not Found,"€ 77,55","8/22/2025, 12:16 PM"
V56886,V56886,56886,5705020568862,Vikan 5688 emmer 6 liter food approved,ChildProduct,Not Found,"€ 21,71","8/22/2025, 12:16 PM"
V56609,V56609,56609,5705020566097,Vikan stofblik 56609 diverse kleuren zwart,ChildProduct,Not Found,"€ 13,99","8/22/2025, 12:16 PM"
V77555,V77555,77555,5705020775550,Vikan 7755 klassieke vloertrekker 70cm vaste nek,ChildProduct,Not Found,"€ 35,32","8/22/2025, 12:16 PM"
V40095,V40095,40095,5705022004917,Vikan 40095 RVS Handschraper kunststof handgreep breed 100mm wit,ChildProduct,Not Found,"€ 20,78","8/22/2025, 12:16 PM"
V71503,V71503,71503,5705020715037,Vikan 71503 Ultra Hygiene vloertrekker 50cm vaste nek blauw,ChildProduct,Not Found,"€ 31,85","8/22/2025, 12:16 PM"
V29102,V29102,29102,5705020291029,Vikan Hygiene 2910 vloerschraper 26cm rvs blad,ChildProduct,Not Found,Not Found,"8/22/2025, 12:16 PM"
V70403,V70403,70403,5705022001374,Vikan voegenborstel steelmodel extra hard 225mm,ChildProduct,Not Found,"€ 22,80","8/22/2025, 12:16 PM"
V31712,V31712,31712,5705020317125,Vikan UST 31711 vloerveger zacht 40cm,ChildProduct,Not Found,"€ 53,09","8/22/2025, 12:16 PM"
V56014,V56014,56014,5705020560149,Shop Vikan 56014 130cm groot blad rood,ChildProduct,Not Found,"€ 68,14","8/22/2025, 12:16 PM"
V29833,V29833,29833,5705020298332,Vikan Hygiene 2983 RVS steel 100cm,ChildProduct,Not Found,"€ 65,52","8/22/2025, 12:16 PM"
V40615,V40615,40615,5705020406157,Vikan 4061 Kunststof handschraper 102mm breed,ChildProduct,Not Found,"€ 4,39","8/22/2025, 12:16 PM"
V38901,V38901,38901,5705020389016,Vikan Hygiene 3890 grote werkborstel hard 7x20cm,ChildProduct,Not Found,"€ 13,53","8/22/2025, 12:16 PM"
